LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,BsmtFinSf1,BsmtFinSf2,TotalBsmtSf,FirstFlrSf,SecondFlrSf,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSf,OpenPorchSf,EnclosedPorch,ThreeSsnPorch,ScreenPorch,SalePrice
4835,7,5,2004,2005,1298,0,1488,1488,0,1488,1,0,2,0,2,1,6,1,2,506,168,50,0,0,0,260000
3215,7,5,2004,2004,280,0,600,600,600,1200,0,0,2,1,2,1,4,0,2,480,0,172,0,0,0,155000
3182,7,5,2004,2005,0,0,600,600,600,1200,0,0,2,1,2,1,4,0,2,480,0,172,0,0,0,151000
2544,7,5,2004,2005,368,42,600,600,600,1200,1,0,2,1,2,1,4,0,2,480,0,172,0,0,0,149500
2544,6,5,2005,2005,376,0,600,600,636,1236,1,0,2,1,2,1,4,0,2,480,0,166,0,0,0,152000
2572,7,5,1999,1999,604,0,696,696,720,1416,1,0,2,1,3,1,6,0,2,484,0,44,0,0,0,155000
2403,7,5,2003,2003,244,0,530,530,550,1080,0,0,2,1,2,1,4,0,2,496,0,50,0,0,0,147110
4420,8,5,1980,1980,728,0,728,788,0,788,1,0,1,0,1,1,3,1,2,484,133,42,0,0,0,155000
3880,8,6,1978,1978,1052,0,1226,1226,0,1226,1,0,1,0,1,1,4,1,2,484,223,78,0,0,0,206000
13517,6,8,1976,2005,533,0,725,725,754,1479,0,0,2,1,3,1,6,0,2,475,0,44,0,0,0,130500
8000,7,5,2002,2002,833,0,1492,1492,0,1492,1,0,2,0,3,1,6,1,2,596,277,137,0,0,0,230000
9360,6,7,1972,2006,982,0,1161,1381,0,1381,1,0,1,1,3,1,5,1,2,676,0,0,0,0,0,197500
9600,5,5,1966,1966,698,0,1232,1232,0,1232,1,0,1,1,3,1,6,0,2,490,0,224,0,0,0,142250
9790,6,5,1963,1963,569,81,1328,1328,0,1328,1,0,1,1,3,1,6,2,2,528,0,26,0,0,0,143000
9320,4,5,1959,1959,569,0,950,1225,0,1225,1,0,1,1,3,1,6,0,0,0,352,0,0,0,0,128950
9900,5,5,1966,1966,1059,0,1209,1209,0,1209,1,0,1,0,3,1,6,0,2,504,0,0,120,0,0,159000
14112,5,7,1964,1964,1014,0,1152,1152,0,1152,1,0,1,0,3,1,6,1,2,484,227,0,0,0,0,180500
9717,5,6,1950,1996,49,1029,1078,1078,0,1078,1,0,1,0,2,1,5,0,1,240,366,0,112,0,0,142125
7207,5,7,1958,2008,696,0,858,858,0,858,1,0,1,0,2,1,4,0,0,0,117,0,0,0,0,116500
5350,3,2,1940,1966,0,0,728,1306,0,1306,0,0,1,0,3,1,6,0,0,0,263,0,0,0,0,76500
9920,5,5,1954,1954,354,290,1056,1063,0,1063,1,0,1,0,3,1,6,0,1,280,0,0,164,0,0,128000
7800,5,6,1954,1954,540,0,1268,1268,0,1268,0,0,1,0,2,1,7,1,1,244,0,98,0,0,0,132000
11380,6,8,1966,2008,944,0,1080,1128,0,1128,1,0,1,0,2,1,5,1,1,315,238,0,0,0,0,178000
8197,7,5,2003,2009,1188,0,1480,1480,0,1480,1,0,2,0,3,1,7,0,2,620,252,73,0,0,0,214000
8050,5,5,1959,1959,856,162,1143,1143,0,1143,1,0,1,0,3,1,6,0,1,308,0,0,0,0,0,136000
8400,5,6,1957,1957,922,0,1314,1314,0,1314,1,0,1,0,3,1,5,0,1,294,250,0,0,0,0,145000
8760,6,6,1959,1959,0,0,1194,1194,0,1194,1,0,1,0,3,1,6,0,1,312,0,0,120,0,0,148000
9300,5,5,1960,1960,697,0,1268,1264,0,1264,1,0,1,0,3,1,6,2,2,461,0,0,0,0,143,167500
10725,5,5,1959,1959,936,0,1206,1206,0,1206,0,0,1,0,3,1,6,0,1,312,0,21,0,0,0,108538
8382,4,5,1956,1956,0,0,832,832,505,1337,0,0,1,0,3,1,5,0,1,263,0,0,0,0,0,108000
10950,5,7,1952,1952,339,0,864,1064,0,1064,0,1,1,0,2,1,4,0,1,318,0,0,0,0,0,135000
10895,5,6,1955,1955,648,0,972,972,0,972,0,0,1,0,3,1,5,0,1,305,0,0,205,0,0,122500
7898,4,7,1920,1994,0,0,576,985,0,985,0,1,1,0,2,1,4,0,2,676,0,0,0,0,0,105000
7200,5,7,1955,2007,0,0,0,827,0,827,0,0,1,0,2,1,5,1,1,392,0,0,0,0,0,107500
10200,5,7,1954,2003,320,362,1086,1086,0,1086,1,0,1,0,3,1,6,0,2,490,0,0,0,0,0,144900
5868,5,7,1956,2000,248,240,936,936,0,936,1,0,1,0,2,1,4,0,1,308,0,0,80,0,160,129000
6979,6,5,1980,1980,1056,0,1056,1056,0,1056,2,0,0,0,0,2,4,0,2,576,264,56,0,0,0,144000
9830,5,7,1959,2006,72,258,1063,1287,0,1287,1,0,1,0,3,1,7,1,2,576,364,17,0,0,182,162000
8064,6,8,1948,2004,481,174,816,816,408,1224,1,0,1,0,3,1,5,0,1,280,414,0,0,0,0,132000
7500,5,7,1959,1994,340,906,1246,1246,0,1246,1,0,1,1,3,1,6,0,1,305,218,0,0,0,0,154000
8520,5,4,1952,1952,507,0,910,910,475,1385,0,0,2,0,4,1,6,0,2,720,0,0,0,0,0,166000
7200,5,7,1951,2000,234,486,900,900,0,900,0,1,1,0,3,1,5,0,2,576,222,32,0,0,0,134800
10000,6,6,1962,1962,0,0,1116,1116,0,1116,0,0,1,1,3,1,5,0,2,440,0,0,0,0,385,160000
7635,5,6,1960,1960,588,350,1175,1175,0,1175,0,0,1,1,3,1,6,0,2,484,0,0,0,0,0,148000
9760,6,7,1963,1984,717,263,1395,1395,0,1395,1,0,1,0,2,1,7,1,2,440,657,0,113,0,240,192000
8800,4,7,1910,2004,0,0,576,792,348,1140,0,0,1,0,3,1,7,0,0,0,0,160,0,0,0,96500
4485,5,7,1920,1950,579,0,936,936,0,936,1,0,1,0,2,1,5,1,0,0,51,0,135,0,0,109500
8960,5,6,1927,1950,0,0,1008,1028,0,1028,0,0,1,0,2,1,5,1,2,360,0,0,130,0,0,115000
5805,5,7,1957,1957,274,1073,1347,1347,0,1347,1,1,1,0,3,1,6,0,2,551,0,0,0,0,0,143000
4608,4,6,1945,1950,0,0,747,747,0,747,0,0,1,0,2,1,4,0,1,220,0,0,0,0,0,80000
5500,5,7,1929,2001,234,692,926,926,0,1316,1,0,1,0,3,1,6,0,2,484,0,0,0,0,0,130000
6900,6,7,1938,2000,0,0,827,827,424,1251,0,0,1,0,3,1,6,0,1,240,0,0,0,0,0,119000
8239,5,6,1920,1962,176,0,1008,1060,185,1245,0,0,1,0,3,1,6,0,1,315,0,0,334,0,0,100000
8520,6,8,1928,2003,0,0,624,720,0,720,0,0,1,0,2,1,5,0,2,484,106,0,0,0,0,105900
7407,6,7,1957,1996,600,0,912,1236,0,1236,1,0,1,0,2,1,6,0,2,923,0,158,158,0,0,149700
7740,4,7,1910,1950,0,0,622,741,622,1363,0,0,1,0,3,1,6,0,2,528,0,0,0,0,168,125500
10560,6,7,1922,1994,283,0,738,868,602,1470,0,0,1,1,2,1,6,0,2,624,0,0,0,0,0,140750
5000,4,7,1925,1950,188,0,765,765,0,765,1,0,1,0,2,1,4,0,1,200,135,0,41,0,0,87000
6000,6,6,1940,1950,264,0,572,848,348,1196,0,1,1,1,3,1,6,2,2,576,0,0,0,0,0,128000
6360,5,6,1942,1950,360,159,835,955,498,1453,0,0,1,1,3,1,7,2,1,240,0,0,35,0,148,132000
6000,6,7,1948,1950,300,0,780,780,636,1416,0,0,1,1,3,1,6,0,1,312,221,0,48,0,0,139900
6240,5,7,1936,1980,276,0,528,548,492,1040,0,0,1,0,2,1,5,0,2,624,306,0,32,0,0,123900
6120,6,5,1923,1950,960,0,1124,1068,0,1068,1,0,1,0,2,1,5,1,1,288,0,0,128,0,0,109500
3068,6,8,1920,1993,0,0,662,662,662,1324,0,1,1,0,3,1,6,0,1,180,0,0,112,0,0,122000
8472,5,5,1963,1963,104,712,816,816,0,816,1,0,1,0,2,1,5,0,2,516,106,0,0,0,0,110000
5600,4,5,1930,1950,0,0,0,372,720,1092,0,0,2,0,3,2,7,0,0,0,0,0,0,0,0,55000
10632,5,3,1917,1950,0,0,689,725,499,1224,0,0,1,1,3,1,6,0,1,180,0,0,248,0,0,107500
9900,5,4,1915,1950,1026,0,1212,1212,180,1392,1,0,1,0,3,1,6,0,0,0,0,0,168,0,0,100000
6001,6,5,1940,1950,368,0,600,600,319,919,0,0,1,0,3,1,5,0,1,231,0,0,45,0,0,95000
6342,5,8,1875,1996,0,0,780,780,240,1020,0,0,1,0,2,1,6,0,0,0,0,0,176,0,0,94000
11625,5,4,1965,1965,841,0,1039,1039,0,1039,1,0,1,1,3,1,6,0,2,504,0,0,0,0,0,131500
11341,5,6,1957,1996,1302,0,1392,1392,0,1392,1,0,1,1,3,1,5,1,2,528,0,0,0,0,95,121500
8521,5,5,1967,1967,842,0,912,912,0,912,0,0,1,0,3,1,5,1,1,336,0,0,0,0,0,125000
8246,5,8,1968,2001,188,668,1060,1060,0,1060,1,0,1,0,3,1,6,1,1,270,406,90,0,0,0,154000
7800,5,7,1966,2008,240,474,864,892,0,892,1,0,1,0,3,1,5,0,1,416,0,0,0,0,0,137900
9364,6,7,1969,1969,371,0,663,663,689,1352,0,0,1,1,4,1,7,0,1,299,379,36,0,0,0,158000
7832,5,5,1968,1968,775,0,864,864,0,864,1,0,1,0,2,1,4,0,1,280,226,0,0,0,0,137250
7424,5,5,1978,1978,1319,0,1319,1373,0,1373,1,0,1,0,3,1,5,2,2,591,0,0,0,0,0,160250
11227,5,5,1968,1968,267,453,720,720,720,1440,0,0,1,1,4,1,7,2,2,480,192,38,0,0,0,163000
20062,7,7,1977,2001,1092,0,1420,1483,0,1483,1,0,1,1,1,1,4,2,2,690,496,0,0,0,0,270000
9259,4,4,1927,1950,0,0,660,756,0,756,0,0,1,0,2,1,4,0,2,440,80,0,0,0,0,85000
9600,4,7,1950,1995,442,0,1067,1067,0,1067,0,0,2,0,2,1,4,0,2,436,290,0,0,0,0,128000
11479,6,7,1950,1987,104,387,663,1074,0,1074,1,0,1,0,3,1,6,1,1,467,0,52,52,0,0,144500
9571,5,6,1956,1956,739,0,1144,1144,0,1144,1,0,1,0,3,1,6,0,1,596,44,0,0,0,0,129000
9525,5,7,1954,1998,954,0,1172,1172,0,1172,1,0,1,0,3,1,5,0,1,366,240,0,0,0,0,128000
10420,6,5,2009,2009,36,0,1212,1212,0,1212,0,0,2,0,3,1,6,0,2,460,100,22,0,0,0,186000
11200,5,3,1964,1964,0,0,1250,1298,0,1298,0,0,2,0,3,1,5,0,2,504,0,144,0,0,0,114000
11980,7,5,1987,1987,1433,0,1433,1433,0,1433,1,0,1,1,1,1,4,2,2,528,0,278,0,0,266,270000
9069,6,6,1992,1992,747,0,936,996,0,996,1,0,1,0,2,1,5,0,2,564,120,0,0,0,0,147000
6762,7,5,2006,2006,686,0,1187,1208,0,1208,1,0,2,0,2,1,6,0,2,632,105,61,0,0,0,206000
10402,7,5,2009,2009,0,0,1226,1226,0,1226,0,0,2,0,3,1,6,0,3,740,0,36,0,0,0,198900
7360,7,5,2010,2010,24,0,1222,1222,0,1222,0,0,2,0,2,1,6,0,2,615,0,54,0,0,0,187000
14235,6,8,1900,1993,0,0,676,831,614,1445,0,0,2,0,3,1,6,0,2,484,0,59,0,0,0,138500
8816,6,7,1971,1971,504,0,1010,1052,0,1052,1,0,1,0,3,1,6,0,2,440,0,0,0,0,0,155000
11105,5,5,1996,1996,870,0,870,965,0,965,1,0,1,0,2,1,4,0,2,580,71,0,0,0,0,159000
15240,5,8,1977,2004,198,688,1026,1026,0,1026,1,0,1,1,3,1,5,0,1,308,316,85,0,0,0,150000
10900,6,7,1977,1977,378,0,689,689,703,1392,0,0,1,1,3,1,6,0,1,299,0,36,0,0,0,161750
10650,5,6,1976,1976,182,712,894,894,0,894,1,0,1,0,3,1,5,0,1,308,365,0,0,0,0,128200
7480,5,6,1972,1972,480,0,876,876,0,876,1,0,1,0,3,1,5,0,2,484,0,0,0,0,0,127000
4435,6,5,2003,2003,672,0,848,848,0,848,1,0,1,0,1,1,4,0,2,420,140,0,0,0,0,143750
4426,6,5,2004,2004,662,0,848,848,0,848,1,0,1,0,1,1,3,0,2,420,160,0,0,0,0,143000
8400,7,5,2004,2005,712,0,1473,1484,0,1484,1,0,2,0,3,1,7,0,2,606,0,35,0,144,0,213000
8773,7,5,2004,2004,24,0,1414,1414,0,1414,0,0,2,0,3,1,6,0,2,494,132,105,0,0,0,185500
8777,3,6,1945,2007,0,0,0,640,0,640,0,0,1,0,2,1,5,0,1,240,0,0,0,0,0,84900
10044,5,6,1968,1968,1070,0,1196,1196,0,1196,1,0,1,0,3,1,6,0,1,336,257,0,168,0,0,144000
6305,6,6,1975,1975,528,0,1008,1096,0,1096,1,0,1,0,3,1,5,1,1,352,0,0,0,0,0,125200
6410,4,5,1958,1958,0,0,960,960,0,960,0,0,1,0,3,1,5,0,0,0,0,0,0,0,0,90000
8546,4,5,2003,2004,0,0,1121,1121,0,1121,0,0,2,0,2,1,5,0,2,440,132,64,0,0,0,140000
8741,6,4,1945,1950,94,0,735,798,689,1487,0,0,1,1,3,1,7,1,1,220,0,140,0,0,0,113000
12180,4,4,1941,1950,348,0,672,672,252,924,1,0,1,0,2,1,5,0,1,280,0,0,0,0,0,80000
4853,5,6,1924,1999,133,0,1107,1296,0,1296,0,0,2,0,2,1,5,1,1,260,0,0,36,0,0,104000
8212,3,3,1914,1950,203,0,864,864,0,864,1,0,1,0,2,1,5,0,1,200,0,0,96,0,0,58500
7890,6,6,1939,1950,238,0,856,856,0,856,1,0,1,0,2,1,4,1,2,399,0,0,0,0,166,126000
3907,8,6,1989,1989,747,0,982,1034,0,1034,1,0,1,0,1,1,4,1,2,598,141,36,0,0,0,185000
3907,8,5,1989,1989,76,0,1191,1191,0,1191,0,0,2,0,2,1,5,1,2,531,112,81,0,0,0,162500
5436,4,8,1922,2007,735,0,796,796,358,1154,1,0,1,0,3,1,7,0,1,240,0,96,0,0,0,125500
8154,2,5,1941,1950,480,0,480,540,0,540,0,0,1,0,1,1,4,0,1,200,0,0,0,0,0,82000
9140,6,5,1921,1975,308,0,629,727,380,1107,0,0,1,0,2,1,5,0,1,625,0,56,0,0,200,110000
9620,6,7,1977,1977,679,0,1243,1285,0,1285,0,1,2,0,3,1,6,1,2,473,375,26,0,0,0,190000
12328,6,5,1976,1976,539,0,1012,1034,0,1034,1,0,1,0,3,1,6,0,3,888,0,0,0,0,0,169900
11896,7,5,2008,2008,78,0,1336,1346,0,1346,1,0,2,0,3,1,6,1,3,660,100,48,0,0,0,220000
9802,5,5,2006,2007,0,0,384,744,700,1444,0,0,2,1,3,1,7,0,2,400,100,0,0,0,0,174000
15300,5,5,1965,1977,42,0,1068,1264,0,1264,1,0,1,0,2,1,7,1,2,528,0,0,0,0,0,169000
10114,5,5,2004,2005,0,0,1430,1430,0,1430,0,0,2,0,3,1,7,0,2,624,0,0,0,0,0,173500
11875,5,5,1999,1999,0,0,1344,1344,0,1344,0,0,2,0,3,1,7,1,2,686,328,0,0,0,0,166500
1974,4,5,1973,1973,334,0,546,546,546,1092,0,0,1,1,3,1,6,0,1,286,120,96,0,0,0,83500
2394,5,6,1973,1973,915,0,945,945,0,945,1,1,1,0,2,1,5,1,1,253,174,0,56,0,108,119500
2592,5,3,1976,1976,129,232,536,536,576,1112,0,0,1,1,3,1,4,0,1,336,182,0,0,0,0,85000
1476,4,7,1970,1970,176,0,546,546,546,1092,0,0,1,1,3,1,5,0,0,0,200,26,0,0,0,76000
1491,4,6,1972,1972,150,480,630,630,0,630,1,0,1,0,1,1,3,0,0,0,96,24,0,0,0,75500
1900,4,4,1970,1970,0,0,546,546,546,1092,0,0,1,1,3,1,5,0,0,0,0,0,0,0,0,88250
1890,4,6,1972,1972,294,0,546,546,546,1092,0,0,1,1,3,1,5,0,1,286,0,0,64,0,0,85500
6953,5,7,1971,2004,469,0,864,874,0,874,0,0,1,0,3,1,5,0,1,352,0,0,0,0,0,130000
26142,5,7,1962,1962,593,0,1188,1188,0,1188,0,0,1,0,3,1,6,0,1,312,261,39,0,0,0,157900
12887,5,7,1984,1984,207,590,833,833,0,833,1,0,1,0,2,1,5,0,2,495,431,0,0,0,0,149900
10475,5,5,1991,1991,458,0,624,624,650,1274,0,0,1,1,3,1,6,0,2,576,22,0,0,0,0,136000
10544,5,5,1969,1969,476,0,864,864,615,1479,0,0,2,0,5,1,8,0,1,275,287,0,280,0,0,161000
13008,6,5,1956,1956,564,0,882,882,0,882,0,0,1,0,2,1,5,0,1,502,0,0,0,0,0,124500
10200,6,5,1974,1974,844,0,1434,1434,0,1434,1,0,2,0,4,1,7,1,2,528,80,21,0,0,0,157000
8530,7,5,1995,1996,0,0,384,804,670,1474,0,0,2,1,3,1,7,1,2,400,120,72,0,0,0,168500
7380,8,5,1998,1998,341,0,1418,1478,0,1478,1,0,2,0,2,1,5,0,2,495,168,43,0,0,0,240000
8923,7,5,1998,1998,189,0,384,751,631,1382,0,0,2,1,3,1,7,1,2,396,256,0,0,0,0,177500
9765,6,8,1993,1993,310,0,680,680,790,1470,0,0,2,1,3,1,6,1,2,420,232,63,0,0,0,185000
7250,6,5,1993,1993,0,0,1181,1190,0,1190,0,0,2,0,3,1,6,1,2,430,0,21,0,0,0,166000
8125,6,5,1994,1995,0,0,702,702,779,1481,0,0,2,1,3,1,6,1,2,343,0,36,0,0,0,174000
9248,6,6,1992,1992,560,0,1158,1167,0,1167,1,0,2,0,3,1,6,0,2,400,120,26,0,0,0,173000
11851,7,5,1990,1990,0,0,1424,1442,0,1442,0,0,2,0,3,1,5,0,2,500,0,34,0,508,0,180500
14115,7,5,1980,1980,1036,0,1372,1472,0,1472,1,0,2,0,3,1,6,2,2,588,233,48,0,0,0,187500
10140,6,6,1974,1974,888,0,1116,1116,0,1116,1,0,2,0,3,1,6,1,2,528,0,0,0,0,0,167900
11050,7,5,1975,1975,636,0,1176,1193,0,1193,0,0,2,0,3,1,5,1,2,506,40,0,0,0,0,158000
10140,6,5,1974,1974,0,0,1064,1350,0,1350,0,0,2,0,3,1,7,1,2,478,0,0,0,0,0,165000
8750,5,6,1970,1970,828,0,1002,1002,0,1002,1,0,1,0,3,1,5,0,2,902,0,0,0,0,0,148500
7930,6,8,1969,2005,439,472,1026,1026,0,1026,1,0,1,0,3,1,5,0,2,440,171,48,0,0,0,156000
7830,5,5,1970,1970,0,0,1180,1180,0,1180,0,0,1,1,2,1,6,0,2,477,0,45,0,0,0,128000
8510,5,7,1971,1971,500,0,1043,1050,0,1050,1,0,1,1,3,1,6,0,1,336,0,0,0,0,0,143000
6960,4,6,1970,1970,375,239,864,864,0,864,0,0,1,0,3,1,5,0,2,660,96,0,0,0,0,120500
8120,4,7,1970,1970,191,0,864,864,0,864,0,0,1,0,3,1,5,0,2,463,0,0,0,0,0,124500
9000,4,7,1971,2006,240,0,864,864,0,864,0,0,1,0,3,1,5,0,2,576,200,0,0,0,0,130000
1680,6,5,1973,1973,254,0,483,483,504,987,1,0,1,1,2,1,5,0,1,264,0,0,0,0,0,111000
2368,5,6,1970,1970,765,0,765,765,600,1365,0,0,1,1,3,1,7,0,2,440,0,36,0,0,0,125000
1680,6,6,1972,1972,110,294,483,483,504,987,1,0,1,1,2,1,5,0,1,288,0,0,0,0,0,97000
1680,6,8,1972,2007,162,0,483,483,504,987,0,0,1,1,2,1,5,0,1,264,250,0,0,0,0,118000
1680,5,7,1972,1972,231,0,630,630,672,1302,0,0,2,1,3,1,6,0,1,264,185,0,0,0,0,119500
4928,6,6,1976,1976,958,0,958,958,0,958,0,0,2,0,2,1,5,0,2,440,0,60,0,0,0,143750
2280,6,6,1976,1976,566,0,855,855,601,1456,0,0,2,1,3,1,7,1,2,440,87,0,0,0,0,148500
2280,7,5,1975,1975,435,622,1057,1055,0,1055,0,1,2,0,2,1,4,1,2,440,0,27,0,0,0,123000
2308,6,5,1974,1974,257,495,855,855,467,1322,0,1,2,1,3,1,6,1,2,440,260,0,0,0,0,147000
2349,6,5,1977,1977,389,0,855,855,601,1456,0,0,2,1,3,1,6,1,2,440,0,28,0,0,0,137900
2289,6,6,1978,1978,311,0,855,855,586,1441,0,0,2,1,3,1,7,1,2,440,28,0,0,0,0,148500
2364,6,5,1978,1978,279,0,855,855,601,1456,0,0,2,1,3,1,6,1,2,440,147,0,0,0,0,138000
2104,7,6,1976,1976,536,0,836,836,0,836,0,1,1,0,2,1,5,0,1,345,150,20,0,0,0,128500
7150,5,5,1967,1967,432,0,892,892,0,892,0,0,1,0,3,1,5,0,1,288,0,0,0,0,0,100000
10710,5,7,1966,2004,644,0,864,1120,0,1120,0,1,1,0,3,1,5,1,2,656,0,162,0,0,0,148800
6904,6,5,2005,2005,836,0,1358,1358,0,1358,0,0,2,0,2,1,6,1,2,484,192,36,0,0,0,213000
5381,6,5,2005,2005,900,0,1306,1306,0,1306,1,0,2,0,1,1,5,1,2,624,170,63,0,0,0,196000
5122,6,5,2005,2005,881,0,1306,1306,0,1306,1,0,2,0,1,1,5,1,2,624,170,63,0,0,0,184500
10307,7,5,2007,2008,876,0,1350,1358,0,1358,1,0,2,0,2,1,6,1,2,484,192,26,0,0,0,212500
5001,7,5,2007,2008,904,0,1314,1314,0,1314,1,0,2,0,2,1,6,1,2,626,172,62,0,0,0,230000
6472,9,5,2008,2008,0,0,1451,1456,0,1456,0,0,2,0,2,1,6,1,2,539,192,42,0,0,0,248500
6240,8,5,2006,2006,863,0,1324,1324,0,1324,1,0,2,0,2,1,6,1,2,550,192,38,0,0,0,254000
3480,7,5,2003,2003,0,0,1405,1405,0,1405,0,0,2,0,2,1,6,1,2,478,148,36,0,0,0,173000
10928,7,5,2005,2005,0,0,728,728,728,1456,0,0,2,1,3,1,8,1,2,390,100,0,0,0,0,184000
8918,6,5,2005,2006,0,0,745,745,745,1490,0,0,2,1,3,1,7,1,2,392,36,20,0,0,0,167800
12589,6,5,2005,2005,0,0,742,742,742,1484,0,0,2,1,3,1,8,1,2,390,36,24,0,0,0,174000
3182,7,5,2005,2006,16,0,1220,1220,0,1220,0,0,2,0,2,1,5,1,2,397,100,16,0,0,0,180000
3182,7,5,2005,2006,16,0,1145,1145,0,1145,0,0,2,0,2,1,5,1,2,397,100,16,0,0,0,160200
7795,7,5,2004,2005,425,0,716,716,716,1432,1,0,2,1,3,1,6,1,2,432,100,51,0,0,0,188500
9434,7,5,2004,2005,0,0,384,744,630,1374,0,0,2,1,3,1,6,1,2,400,100,0,0,0,0,170000
7750,8,5,2002,2002,353,0,408,779,640,1419,1,0,2,1,3,1,7,1,2,527,120,0,0,0,0,184100
